prodid, prodname, caffeine_serving, calcium_serving, carbohydrates_serving, carbon-footprint_serving,cholesterol_serving, chromium_serving, copper_serving, energy_serving, energy-from-fat_serving, erythritol_serving, fat_serving, fiber_serving, fruits-vegetables-nuts_serving, guarana-seed-extract_serving, insoluble-fiber_serving, iron_serving, magnesium_serving, manganese_serving, molybdenum_serving, monounsaturated-fat_serving, omega-3-fat_serving, pantothenic-acid_serving, phosphorus_serving, polyols_serving, polyunsaturated-fat_serving, potassium_serving, proteins_serving, salt_serving, saturated-fat_serving, selenium_serving, serum-proteins_serving, sodium_serving, soluble-fiber_serving, starch_serving, sugars_serving, taurine_serving, trans-fat_serving, vitamin-a_serving, vitamin-b1_serving, vitamin-b12_serving, vitamin-b2_serving, vitamin-b6_serving, vitamin-b9_serving,vitamin-c_serving, vitamin-d_serving, vitamin-e_serving, vitamin-pp_serving, zinc_serving
7.61303E+12," ""undefined""", undefined,0.14,22.7, undefined, undefined, undefined, undefined,514, undefined, undefined,2.22,1.62, undefined, undefined, undefined,0.0024, undefined, undefined, undefined, undefined, undefined,0.00156, undefined, undefined, undefined, undefined,2.25,0.15,0.93, undefined, undefined,0.0591, undefined, undefined,8.61, undefined, undefined, undefined,0.000279, undefined,0.00042,0.00039,0.000054, undefined,9.00E-07, undefined,0.00417, undefined
3.01762E+12," ""undefined""", undefined, undefined,8.59, undefined, undefined, undefined, undefined,341, undefined, undefined,4.74,0.51, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0.9,0.0141,1.64, undefined, undefined,0.00555, undefined, undefined,8.51, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
42563007799," ""Peanut butter organic smooth""", undefined,0.002,7, undefined,0, undefined, undefined,795, undefined, undefined,15,2, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,7,0.1397,3.5, undefined, undefined,0.055, undefined, undefined,2, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
4157006837," ""Almond milk chocolate""", undefined,0.45,22, undefined,0, undefined, undefined,502,105, undefined,3,1, undefined, undefined, undefined,0.00108,0.024, undefined, undefined, undefined, undefined, undefined,0.04, undefined, undefined, undefined,1,0.381,0, undefined, undefined,0.15, undefined, undefined,20, undefined,0,0.00015, undefined, undefined, undefined, undefined, undefined,0,0.00001,0.01, undefined, undefined
5.449E+12," ""Coca Cola""", undefined, undefined,35, undefined, undefined, undefined, undefined,594, undefined, undefined,0,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0,0, undefined, undefined,0, undefined, undefined,35, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
8.85099E+12," ""Mama""", undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , , , undefined, undefined, , undefined, undefined, , undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
20100000083," ""Sardines in soybean oil with hot green chilies""", undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
81029102115," ""Chocolate chip cookies""", undefined,0,11, undefined,0.015, undefined, undefined,377,167, undefined,4.5,0, undefined, undefined, undefined,0.00072, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,1,0.2413,2.5, undefined, undefined,0.095, undefined, undefined,7, undefined,0,0.00003, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
49000042566," ""Coca-Cola Zero""", undefined, undefined,0, undefined, undefined, undefined, undefined,0, undefined, undefined,0, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined,0,0.1016, undefined, undefined, undefined,0.04, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined
30000010402," ""Quaker Oats 100% Natural Whole Grain OLD FASHIONED""", undefined,0,27, undefined,0, undefined, undefined,628,105, undefined,3,4, undefined, undefined,2,0.0018, undefined, undefined, undefined,1, undefined, undefined, undefined, undefined,1, undefined,5,0,0.5, undefined, undefined,0,2, undefined,1, undefined,0,0, undefined, undefined, undefined, undefined, undefined,0, undefined, undefined, undefined, undefined
